scope_level,province,city,district,candidate_count,competition_pool_count,winner_uid,winner,winner_level,winner_private,winner_tags,decision_basis,decision_detail,evidence_strength,status,ranking_system,comparison_group,ranking_id,ranking_edition,ranking_list,ranking_category,ranking_scale_field,ranking_display,ranking_reference,ranking_source_url,location_basis,location_evidence,runner_up_uid,runner_up,runner_up_level,runner_up_system,runner_up_same_scale,unresolved_reason,comparable_candidates,needs_ranking_backfill,notes
district,福建省,泉州市,石狮市,3,3,4135012710,闽南理工学院,本科,yes,,level_order,本科层次优先于更低层次候选（项目层次政策）,policy,resolved_policy,shanghairanking-bcur-private,shanghairanking-bcur-private,shanghairanking-bcur-private,2026,中国民办高校排名（主榜）,,ranking,2026软科民办 60,60,https://www.shanghairanking.cn/rankings/bcur/202615,campus,verified_campus,,,,,no,,闽南理工学院,no,no comparable second place: the deciding rule set aside the other 2 candidate(s) without leaving anybody on the winner's own scale
district,福建省,泉州市,永春县,1,1,4135014331,泉州幼儿师范高等专科学校,专科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,2026,中国高职专科院校排名（总榜）,师范,rankOverall,2026软科高职专科总榜 321,321,https://www.shanghairanking.cn/rankings/bcvcr/2026623,campus,profile_campus,,,,,no,,泉州幼儿师范高等专科学校,no,
district,福建省,三明市,大田县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,三明市,建宁县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,三明市,将乐县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,三明市,明溪县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,三明市,宁化县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,三明市,清流县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,三明市,三元区,2,2,4135011311,三明学院,本科,no,,level_order,本科层次优先于更低层次候选（项目层次政策）,policy,resolved_policy,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 381,381,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,,,,,no,,三明学院,no,no comparable second place: the deciding rule set aside the other 1 candidate(s) without leaving anybody on the winner's own scale
district,福建省,三明市,沙县区,1,1,4135013976,三明医学科技职业学院,专科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,2026,中国高职专科院校排名（总榜）,综合,rankOverall,2026软科高职专科总榜 461,461,https://www.shanghairanking.cn/rankings/bcvcr/2026623,campus,profile_campus,,,,,no,,三明医学科技职业学院,no,
district,福建省,三明市,泰宁县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,三明市,永安市,1,1,4135012627,福建水利电力职业技术学院,专科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,2026,中国高职专科院校排名（总榜）,理工,rankOverall,2026软科高职专科总榜 177,177,https://www.shanghairanking.cn/rankings/bcvcr/2026623,campus,profile_campus,,,,,no,,福建水利电力职业技术学院,no,
district,福建省,三明市,尤溪县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
