id,uid,universityName,rankingId,agency,rankingName,edition,rank,rankDisplay,rankLower,rankUpper,rankMidpoint,referenceRank,referenceRankOrRank,nationalRank,score,category,scope,sourceUrl,publishedAt,retrievedAt,verified,notes,displayLabel
RANK_SR_BCVCR_2026_4136012976,4136012976,江西机电职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,154,154,,,154.0,300,300,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 154 · 总榜参考 300
RANK_SR_BCVCR_2026_4134012074,4134012074,阜阳职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,155,155,,,155.0,302,302,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 155 · 总榜参考 302
RANK_SR_BCVCR_2026_4115012673,4115012673,内蒙古电子信息职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,156,156,,,156.0,304,304,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 156 · 总榜参考 304
RANK_SR_BCVCR_2026_4136012933,4136012933,江西电力职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,156,156,,,156.0,304,304,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 156 · 总榜参考 304
RANK_SR_BCVCR_2026_4145013827,4145013827,广西经贸职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,37,37,,,37.0,305,305,,,财经,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职财经 37 · 总榜参考 305
RANK_SR_BCVCR_2026_4152014469,4152014469,贵阳幼儿师范高等专科学校,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,9,9,,,9.0,308,308,,,师范,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职师范 9 · 总榜参考 308
RANK_SR_BCVCR_2026_4150014246,4150014246,重庆商务职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,38,38,,,38.0,308,308,,,财经,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职财经 38 · 总榜参考 308
RANK_SR_BCVCR_2026_4143013939,4143013939,湖南水利水电职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,158,158,,,158.0,309,309,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 158 · 总榜参考 309
RANK_SR_BCVCR_2026_4137013012,4137013012,山东信息职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,159,159,,,159.0,310,310,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 159 · 总榜参考 310
RANK_SR_BCVCR_2026_4144014065,4144014065,广州科技贸易职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,70,70,,,70.0,310,310,,,综合,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职综合 70 · 总榜参考 310
